route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
GREY ALT,7W #2 SHOW HS Early Out,[@6.0.28929208@][32][1657992971959]/6__7W_#2_SHOW_HS_Early_Out,Williamsburg & Mattis,1,7W #2 SHOW HS Early Out,[@2.0.84907145@]7W SHOW 226
SILVER,SV4 NON UI SCH,[@6.0.28932250@][1][1654525562862]/33__SV4_NON_UI_SCH,PAR,0,SV4 NON UI SCH,[@6.0.28932250@]1
YELLOW LATE NIGHT,T1 UIF,[@7.0.41201803@][1][1254144787718]/3__T1_UIF,Illinois Terminal,0,T1 UIF,100N-LATE
BROWN,GNX5 MF,[@2.0.80548152@][12][1435337378932]/0__GNX5_MF,Parkland College,1,GNX5 MF,[@15.0.61662606@]140
TEAL SATURDAY,T1 NONUI SA,[@12.0.44194660@][1250946648828]/147__T1_NONUI_SA,Orchard Downs,0,T1 NONUI SA,12E TEAL WEEKEND 13
BRONZE,BZ1 NOSCHMF,[@15.0.63192037@][4][1337952881024]/9__BZ1_NOSCHMF,Yankee Ridge - Transit Plaza,1,BZ1 NOSCHMF,[@15.0.63192037@]4
YELLOW SUNDAY,Y2  NONUISU,[@124.0.92236898@][1484325332995]/56__Y2__NONUISU,Savoy Walmart,1,Y2  NONUISU,[@124.0.92236898@]100S
TEAL,T3 UIMF,[@6.0.28930857@][32][1653599999128]/38__T3_UIMF,Illinois Terminal,1,T3 UIMF,12W TEAL 12
YELLOW SATURDAY,Y2 NONUI SA,[@15.0.63192124@][2][1338469240094]/15__Y2_NONUI_SA,Savoy Walmart,1,Y2 NONUI SA,[@14.0.57766396@]100S
ILLINI LIMITED,I1 NONUIMF,[@6.0.14327389@][2][1622151633960]/43__I1_NONUIMF,ARC,1,I1 NONUIMF,ILLINI 845
GREEN LATE NIGHT,GR5 UIMF,[@7.0.38112640@][3][1219153533843]/0__GR5_UIMF,Lincoln Square,0,GR5 UIMF,50E->50WLNIGHT
ILLINI LIMITED,I2 NONUI MF,[@6.0.14327389@][2][1622152086585]/68__I2_NONUI_MF,ARC,1,I2 NONUI MF,ILLINI 845
BROWN,BB1 MF,[@2.0.80548152@][12][1425572286750]/19__BB1_MF,Parkland College,1,BB1 MF,[@15.0.61662606@]366
TEAL,T1 UIF,[@6.0.28930857@][31][1653075243167]/3__T1_UIF,Orchard Downs,0,T1 UIF,12E TEAL 13
GOLD,G6 NON UI MF,[@6.0.28929634@][32][1654282683224]/8__G6_NON_UI_MF,Mattis & Devonshire,1,G6 NON UI MF,10WLSG->
GOLD,G2 NON UI MF,[@6.0.28929634@][31][1653676651932]/5__G2_NON_UI_MF,Cunningham & Perkins,0,G2 NON UI MF,[@6.0.28929634@]21
ORANGE,O3 MF,[@2.0.86175868@][1458585713139]/37__O3_MF,Illinois Terminal,1,O3 MF,[@2.0.86175868@]53
ILLINI EVENING,I5 UI M-TH,[@6.0.28928828@][1][1654031639104]/21__I5_UI_M-TH,Lincoln & Killarney,0,I5 UI M-TH,220N ILLINI 10
ILLINI,I2 UI-MTH,[@6.0.28930998@][2][1654024040726]/90__I2_UI-MTH,PAR,1,I2 UI-MTH,22S ILLINI 20
TEAL EVENING,T1 UIF,[@7.0.41903462@][4][1243545628328]/10__T1_UIF,Illinois Terminal,1,T1 UIF,TEAL EVENING 12
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][2][1363721639425]/19__SV1_NONUISA,Transit Plaza,1,SV1 NONUISA,[@15.0.67916770@]3
TEAL LATE NIGHT SUNDAY,T1 UISU,[@124.0.92276155@][1484344792164]/80__T1_UISU,Illinois Terminal,1,T1 UISU,[@124.0.92276155@]120W TEAL LATE 12
ILLINI LIMITED SUNDAY,I2 NON UI SU,[@6.0.14330187@][2][1622253008700]/42__I2_NON_UI_SU,ARC,1,I2 NON UI SU,[@124.0.92244155@]ILLINI LIMITED WEEKEND 845
TEAL SATURDAY,T1 UISA,[@12.0.44194660@][1250946648828]/265__T1_UISA,Illinois Terminal,1,T1 UISA,TEAL WEEKEND 45
SILVER,SV4 UI NOSCH,[@6.0.28932250@][2][1654462064698]/2__SV4_UI_NOSCH,PAR,1,SV4 UI NOSCH,[@6.0.28932250@]9
SILVER,SV4 UI F,[@6.0.28932250@][2][1654215235685]/129__SV4_UI_F,PAR,1,SV4 UI F,SILVER 120
ORANGE,O1 MF,[@2.0.86175868@][1458585713139]/90__O1_MF,Lincoln Square - US 150 & Dodson,0,O1 MF,[@2.0.86175868@]75
TEAL EVENING,T1 UIM-F,[@7.0.41903462@][3][1243545697437]/17__T1_UIM-F,Orchard Downs,0,T1 UIM-F,TEAL EVENING 13
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][1][1363722440092]/54__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@15.0.67916770@]2
ILLINI LIMITED SATURDAY,I1 NONUISA,[@6.0.14330204@][2][1622384445965]/36__I1_NONUISA,ARC,1,I1 NONUISA,ILLINI LIMITED WEEKEND 845
BROWN,BA2 NOSCHMF,[@2.0.80548152@][11][1425575171881]/0__BA2_NOSCHMF,Parkland College,0,BA2 NOSCHMF,[@15.0.61662606@]1
GREEN SATURDAY,GN3  UISA,[@7.0.41202550@][4][1248723584250]/1__GN3__UISA,Round Barn Road,1,GN3  UISA,[@15.0.68513015@]219
BLUE,B3 SCHMF,[@14.0.56288268@][4][1302638165831]/22__B3_SCHMF,Round Barn Road,1,B3 SCHMF,4W
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][1][1363722440092]/83__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@15.0.67916770@]2
YELLOW EVENING SATURDAY,Y2 UISA,[@124.0.92247832@][1484327725398]/6__Y2_UISA,Savoy Walmart,1,Y2 UISA,[@124.0.92247832@]100S
RED,R3 MF,[@14.0.56288404@][1][1302702394200]/1__R3_MF,Trails - Market Place - Ashland Park,0,R3 MF,[@14.0.56288404@]5
TEAL,T1 UIF,[@6.0.28930857@][31][1653491393366]/1__T1_UIF,Orchard Downs,0,T1 UIF,12E TEAL 13
SILVER SATURDAY,SV2 UISA,[@12.0.44184681@][1250945403296]/75__SV2_UISA,Lincoln Square,0,SV2 UISA,130N SILVER WEEKEND 1
PINK,P2 NOSCH MF,[@2.0.81838518@][12][1430161313741]/33__P2_NOSCH_MF,Round Barn Road,1,P2 NOSCH MF,[@2.0.81838518@]103
BROWN ALT PM,3N_9A SHOW MTTF Reg Dismiss,[@6.0.21656090@][11][1651772502164]/0__3N__9A_SHOW_MTTF_Reg_Dismiss,Devonshire Express,0,3N_9A SHOW MTTF Reg Dismiss,[@6.0.4562082@]101
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][1][1363722440092]/84__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@15.0.67916770@]2
TEAL EVENING,T3 NON UI MF,[@7.0.41903462@][3][1243545711640]/27__T3_NON_UI_MF,Orchard Downs,0,T3 NON UI MF,TEAL EVENING 13
GREEN EXPRESS,GNX3 MF,[@35.0.26091409@][4][1166799725236]/0__GNX3_MF,Curtis & Wynstone,1,GNX3 MF,1420
ILLINI,I1 UI MTH,[@6.0.28930998@][2][1654023658965]/82__I1_UI_MTH,PAR,1,I1 UI MTH,22S ILLINI 20
YELLOW LATE NIGHT SUNDAY,Y2 UISU,[@124.0.92330667@][1484578259855]/60__Y2_UISU,Lot E-14,1,Y2 UISU,[@124.0.92330667@]100SLTNT->
YELLOW SUNDAY,Y4 SU,[@124.0.92236898@][1484325332995]/69__Y4_SU,Savoy Walmart,1,Y4 SU,[@124.0.92236898@]100S
RUBY SATURDAY,RUB1 SA,[@15.0.64657075@][1339528341508]/0__RUB1_SA,Lincoln Square,1,RUB1 SA,[@15.0.64657075@]2
GREY SUNDAY,GN4 SU,[@2.0.85633657@][32][1463429698711]/6__GN4_SU,Round Barn Road,1,GN4 SU,70WIT->CF
LAVENDER ALT,GN3 SCHMTTF,[@6.0.14329207@][1][1623093987146]/0__GN3_SCHMTTF,Campbell & Queensway,0,GN3 SCHMTTF,[@2.0.84876422@]LAVENDER 1505
SILVER,SV4 NON UI  NOSCH,[@6.0.28932250@][1][1654525562862]/35__SV4_NON_UI__NOSCH,PAR,0,SV4 NON UI  NOSCH,[@6.0.28932250@]1
ORANGE,O1 MF,[@2.0.86175868@][1458585713139]/109__O1_MF,Round Barn Road - Plastipak,1,O1 MF,[@2.0.86175868@]ORANGE 610
BROWN,BA1 MF,[@2.0.80548152@][11][1425506589356]/0__BA1_MF,Parkland College,0,BA1 MF,[@15.0.61662606@]1
ILLINI,I5  UIF,[@6.0.28930998@][1][1654019163045]/42__I5__UIF,Lincoln & Killarney,0,I5  UIF,22N ILLINI 10
SILVER SUNDAY,SV1 UISU,[@124.0.92281033@][1484346076492]/16__SV1_UISU,Vet-Med,1,SV1 UISU,[@124.0.92281033@]130S SILVER WEEKEND 3
TEAL,T1 UIF,[@6.0.28930857@][32][1653599876628]/34__T1_UIF,Illinois Terminal,1,T1 UIF,TEAL 23
GREEN SUNDAY,GR2 SU,[@124.0.92334988@][1484579202830]/84__GR2_SU,Round Barn Road,1,GR2 SU,[@124.0.92334988@]219
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][1][1363722440092]/74__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@15.0.67916770@]2
GREY ALT,N3 K12 Early Dismiss,[@4.0.3874302@][32][1598468536409]/0__N3_K12_Early_Dismiss,Bradley & Romine,1,N3 K12 Early Dismiss,[@2.0.84907145@]GREY 1535
ILLINI EVENING SATURDAY,I1 UI SA,[@6.0.28931507@][2][1654195102422]/39__I1_UI_SA,PAR,1,I1 UI SA,[@124.0.92260187@]220S ILLINI 20
GREY EVENING,L2 NO SCH MF,[@124.0.143437300@][31][1591365669945]/0__L2_NO_SCH_MF,Main & Route 150,0,L2 NO SCH MF,[@124.0.143437300@]74
LAVENDER SUNDAY,L2 SU,[@15.0.71205318@][1381241976567]/21__L2_SU,Illinois Terminal,1,L2 SU,[@15.0.71205318@]30SBB->IT
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][1][1363722440092]/68__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@15.0.67916770@]2
GREEN SATURDAY,GR1SA,[@7.0.41202550@][4][1248702341796]/2__GR1SA,Round Barn Road,1,GR1SA,[@15.0.68513015@]219
LINK,LN3 MF,[@6.0.15252684@][2][1622672028480]/64__LN3_MF,Water Survey,1,LN3 MF,[@6.0.15252684@]2
ORANGE ALT,GN9 WED,[@6.0.14327768@][31][1631626814920]/1__GN9_WED,Edgewood,0,GN9 WED,[@6.0.14327768@]21
SILVER,SV4 NON UI SCH,[@6.0.28932250@][1][1654525562862]/43__SV4_NON_UI_SCH,PAR,0,SV4 NON UI SCH,[@6.0.28932250@]1
BLUE,B2 MF,[@2.0.80545824@][31][1426087345141]/0__B2_MF,Illinois Terminal,0,B2 MF,BLUE 51
TEAL,T1 UIF,[@6.0.28930857@][32][1653599876628]/29__T1_UIF,Illinois Terminal,1,T1 UIF,TEAL 23
YELLOW SATURDAY,Y5SA,[@15.0.63192124@][1][1338414280664]/14__Y5SA,Champaign Walmart,0,Y5SA,[@14.0.57766396@]100N
ILLINI LIMITED SUNDAY,I1 SU,[@6.0.14330187@][2][1622253008700]/51__I1_SU,ARC,1,I1 SU,[@124.0.92244155@]ILLINI LIMITED WEEKEND 845
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/25__SV2_UISA,Vet-Med,1,SV2 UISA,[@124.0.92284627@]130S SILVER EVENING 3
SILVER,SV4 NON UI SCH,[@6.0.28932250@][2][1654525478258]/27__SV4_NON_UI_SCH,PAR,1,SV4 NON UI SCH,SILVER 120
YELLOWHOPPER,Y8 UIMF,[@6.0.14331263@][2][1622139849262]/85__Y8_UIMF,Lot E-14,1,Y8 UIMF,YELLOWHOPPER 26
ILLINI EVENING,I1 UIF LATE,[@6.0.28928828@][1][1654028127367]/5__I1_UIF_LATE,Lincoln & Killarney,0,I1 UIF LATE,220N ILLINI 10
YELLOW,Y2  UIMF,[@6.0.14329702@][1][1622064748260]/33__Y2__UIMF,Champaign Walmart,0,Y2  UIMF,YELLOW 7
SILVER EVENING SUNDAY,SV1 UISU,[@124.0.92286725@][1484347296458]/170__SV1_UISU,PAR,1,SV1 UISU,[@124.0.92286725@]SILVER 121
GREEN LATE NIGHT SATURDAY,GN2  UISA,[@124.0.92344750@][1484579800344]/84__GN2__UISA,Lincoln Square,0,GN2  UISA,[@124.0.92344750@]50E->50WLNIGHT
RUBY SATURDAY,RUB1 SA,[@15.0.64657075@][1339528341508]/63__RUB1_SA,Airport & Cunningham,0,RUB1 SA,[@15.0.64657075@]1
TEAL LATE NIGHT,T1 UIM-F,[@7.0.41905826@][3][1246486974015]/5__T1_UIM-F,Orchard Downs,0,T1 UIM-F,TEAL LATE 14
GREEN,GN7 NON UI,8GN511__GN7_NON_UI,Round Barn Road - Holiday Park,1,GN7 NON UI,5W-PM
SILVER,SV1 UI MF,[@6.0.28932250@][2][1654215108501]/103__SV1_UI_MF,PAR,1,SV1 UI MF,SILVER 120
YELLOWHOPPER,Y8 UIMF,[@6.0.14331263@][1][1622139626848]/3__Y8_UIMF,Illinois Terminal,0,Y8 UIMF,YELLOWHOPPER 23
TEAL SATURDAY,T1 NONUI SA,[@12.0.44194660@][1250946648828]/159__T1_NONUI_SA,Orchard Downs,0,T1 NONUI SA,12E TEAL WEEKEND 13
TEAL EVENING,T1 UIF,[@7.0.41903462@][4][1243545628328]/6__T1_UIF,Illinois Terminal,1,T1 UIF,TEAL EVENING 12
